,gameId,season,date,HomeTeam,f_goals_home,f_xg_home,f_ns_xg_home,f_adj_score_home,f_margin_home,f_opp_goals_home,f_opp_xg_home,f_opp_ns_xg_home,f_opp_adj_score_home,AwayTeam,f_goals_away,f_xg_away,f_ns_xg_away,f_adj_score_away,f_margin_away,f_opp_goals_away,f_opp_xg_away,f_opp_ns_xg_away,f_opp_adj_score_away,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,FTR,FTHG,FTAG,f_homeElo,f_awayElo,f_winPct
22,23,2016,2016-08-27,Leicester City,0.4909090909090909,1.5736363636363635,0.9598181818181818,0.5154545454545454,-0.4909090909090909,0.9818181818181818,0.7125454545454545,0.8623636363636363,1.0309090909090908,Swansea City,0.4909090909090909,1.5905454545454545,2.3490909090909087,0.5154545454545454,-0.5272727272727272,1.018181818181818,1.5963636363636362,1.3179999999999998,0.8043636363636364,66.6,59.55,0.5351,0.2056,0.2593,1.65,0.98,19.7,29.3,H,2.0,1.0,1491.9465314401193,1496.1183896541588,0.568398712777318
23,24,2016,2016-08-27,Crystal Palace,0.0,0.7485454545454545,0.8145454545454546,0.0,-1.0,1.0,1.5149090909090908,1.4879999999999998,1.05,AFC Bournemouth,0.4909090909090909,0.48454545454545456,1.2525454545454546,0.5154545454545454,-1.490909090909091,1.9818181818181817,2.0216363636363632,1.3585454545454545,2.080909090909091,54.06,60.24,0.3985,0.3146,0.2869,1.29,1.19,47.8,36.4,D,1.0,1.0,1484.2325640062895,1480.3328497344876,0.5797591165200622
24,25,2016,2016-08-27,Everton,1.509090909090909,1.3510909090909091,1.5214545454545456,1.5845454545454543,0.509090909090909,1.0,1.6241818181818182,1.7845454545454544,1.05,Stoke City,1.0,0.9725454545454545,0.9429090909090909,1.05,-1.5272727272727271,2.5272727272727273,1.8378181818181814,1.5983636363636362,2.180181818181818,68.06,59.86,0.547,0.1954,0.2575,1.66,0.94,29.4,31.6,H,1.0,0.0,1508.2325640062895,1485.4933808362307,0.6059293823316677
25,26,2016,2016-08-27,Chelsea,2.0,1.7129090909090907,1.9025454545454545,2.1,1.0,1.0,0.6569090909090908,0.6074545454545455,1.05,Burnley,1.018181818181818,0.7156363636363636,1.0074545454545454,1.069090909090909,0.5272727272727272,0.4909090909090909,1.509090909090909,1.967272727272727,0.5154545454545454,80.86,58.66,0.7139,0.0914,0.1947,2.04,0.63,65.2,27.5,H,3.0,0.0,1515.8730883499677,1501.0337478155889,0.5950202018362722
26,27,2016,2016-08-27,Watford,1.0,0.4949090909090909,0.4405454545454545,1.05,-0.509090909090909,1.509090909090909,1.4674545454545456,1.7847272727272727,1.5845454545454543,Arsenal,1.4727272727272727,0.8549090909090908,1.3630909090909091,1.5463636363636364,-0.4909090909090909,1.9636363636363636,1.1170909090909091,1.0776363636363635,2.0618181818181816,59.03,81.56,0.1698,0.6133,0.2169,1.15,2.01,30.4,58.9,A,1.0,3.0,1492.1269116500323,1492.0534685598807,0.5743835608426991
27,28,2016,2016-08-27,Hull City,2.0,1.4049090909090909,0.5619999999999999,1.8352727272727272,1.509090909090909,0.4909090909090909,2.0470909090909086,2.1969090909090907,0.5154545454545454,Manchester United,2.4909090909090903,1.7823636363636364,1.2414545454545454,2.6154545454545453,2.0,0.4909090909090909,0.6067272727272727,1.4052727272727272,0.5154545454545454,54.79,81.23,0.175,0.5752,0.2498,0.89,1.64,26.7,54.9,A,0.0,1.0,1519.8816103458412,1522.1787338547995,0.57104420607943
28,29,2016,2016-08-28,West Bromwich Albion,1.0,1.413090909090909,1.6814545454545453,1.05,-0.018181818181818174,1.018181818181818,1.5376363636363635,1.5018181818181817,1.069090909090909,Middlesbrough,1.509090909090909,1.0945454545454545,1.0841818181818181,1.5845454545454543,0.509090909090909,1.0,1.0743636363636364,1.6556363636363636,1.05,59.12,56.62,0.4596,0.2571,0.2833,1.39,1.04,33.0,28.8,D,0.0,0.0,1499.7674359937105,1507.8730883499677,0.5628350891247897
29,30,2016,2016-08-28,Manchester City,3.018181818181818,2.201090909090909,1.932181818181818,2.6956363636363636,2.018181818181818,1.0,1.3161818181818181,0.8741818181818181,1.05,West Ham United,1.0,1.2067272727272726,1.2947272727272727,1.05,0.018181818181818174,0.9818181818181818,0.995090909090909,1.5716363636363635,1.0309090909090908,86.14,63.98,0.7687,0.078,0.1534,2.57,0.7,67.6,23.8,H,3.0,1.0,1522.5066191637693,1499.861155882215,0.605800554903417
30,31,2016,2016-09-10,Manchester United,1.9757602468047595,2.0579682679594535,1.876721022476862,2.0745482591449975,1.6544733362714852,0.3212869105332746,0.5111106214191273,1.0786557955046274,0.33735125605993826,Manchester City,3.011899515204936,2.4460379021595418,2.273499338915822,2.6729572498898193,2.0118995152049357,1.0,1.1723799030409872,0.8174526223005728,1.05,82.18,86.26,0.3845,0.3543,0.2612,1.53,1.43,82.2,99.4,A,1.0,2.0,1531.3154411520704,1531.4263343883379,0.574124130206362
31,32,2016,2016-09-10,West Ham United,1.0,1.100744821507272,1.092688408990745,1.05,-0.6791538122520935,1.6791538122520933,1.6567430586161302,2.037531952401939,1.5834376377258705,Watford,1.0,0.8180079330101365,0.8308021154693697,1.05,-1.0242397531952403,2.02423975319524,1.6238210665491406,1.7692728074041428,2.1254517408550018,63.85,58.86,0.5151,0.2355,0.2494,1.8,1.2,21.6,33.2,A,2.0,4.0,1490.9414406576464,1479.130095302066,0.5908130824954432
32,33,2016,2016-09-10,AFC Bournemouth,0.6668135742617893,0.6591934773027766,1.255121198765976,0.7001542529748788,-0.9757602468047598,1.642573821066549,2.2456632877919787,1.9706302335830759,1.724702512119877,West Bromwich Albion,0.6544733362714853,1.201251652710445,1.6774966945791097,0.6871970030850595,-0.011899515204936092,0.6663728514764212,1.1549184662847067,1.2973292199206699,0.6996914940502423,59.25,59.02,0.4607,0.2658,0.2735,1.5,1.14,40.9,31.1,H,1.0,0.0,1481.6089955988086,1498.7620745677139,0.549981265860918
33,34,2016,2016-09-10,Stoke City,0.6544733362714853,0.7159762009695901,1.1630409872190393,0.6871970030850595,-1.3450859409431466,1.999559277214632,2.0078801234023795,1.9928294402820628,1.7896738651388275,Tottenham Hotspur,1.0,1.371489643014544,1.6252666372851476,1.05,0.3331864257382106,0.6668135742617893,1.034680475980608,1.0262318201851035,0.7001542529748788,59.11,73.33,0.2932,0.4274,0.2794,1.14,1.43,34.2,44.2,A,0.0,4.0,1479.1882509535374,1506.3815557061087,0.5356391634097878
34,35,2016,2016-09-10,Burnley,0.6663728514764212,0.5582018510356985,0.9841472014103129,0.6996914940502423,-0.6914940502423975,1.3578669017188187,1.9309475539885415,2.4519524019391805,1.2564521815777874,Hull City,1.3089466725429706,1.033499338915822,0.5267562802996915,1.2011370647862494,0.6421330982811811,0.6668135742617893,2.231225209343323,2.5020405464962536,0.7001542529748788,57.38,53.37,0.4633,0.2357,0.301,1.25,0.83,38.0,33.8,D,1.0,1.0,1489.8106184322519,1510.7449030485702,0.5445883946195624
35,36,2016,2016-09-10,Arsenal,2.0004407227853678,1.2229263992948434,1.4933230498016747,2.1004627589246363,0.36976641692375495,1.6306743058616129,1.2252093433230498,1.2477611282503305,1.7122080211546935,Southampton,0.6668135742617893,0.8262714852357865,1.4902600264433672,0.7001542529748788,-0.6663728514764212,1.3331864257382107,1.038527985896871,1.1486866460996032,1.399845747025121,81.72,67.78,0.6503,0.1334,0.2163,1.95,0.86,65.5,22.8,H,2.0,1.0,1505.050284907847,1488.3152231604888,0.5976470854785642
36,37,2016,2016-09-10,Middlesbrough,0.987659762009696,0.8649272807404143,1.0239973556632878,1.0370427501101804,0.3331864257382106,0.6544733362714853,0.9795636844424858,1.6605993829881003,0.6871970030850595,Crystal Palace,0.34552666372851476,1.4124592331423536,1.6145967386513882,0.3628029969149405,-0.6544733362714853,1.0,1.333539003966505,1.4092199206698985,1.05,56.65,55.03,0.492,0.2184,0.2896,1.35,0.84,33.3,40.3,A,1.0,2.0,1508.8784497759643,1482.9564181419685,0.6102956818633848
37,38,2016,2016-09-10,Liverpool,1.6306743058616129,1.6545262230057294,1.7453195240193915,1.7122080211546935,-0.3450859409431467,1.9757602468047595,0.6781048920229176,1.0762230057293962,2.0745482591449975,Leicester City,1.0123402379903041,2.0250198325253415,1.035896870868224,1.0629572498898194,0.024239753195240167,0.9881004847950638,0.6218289995592772,0.9928470691934774,1.037505509034817,78.41,67.06,0.6145,0.1637,0.2218,1.97,1.03,65.4,33.5,H,4.0,1.0,1500.352132472013,1498.8521520356821,0.5763898411181742
38,39,2016,2016-09-11,Swansea City,0.6668135742617893,1.1964565888056413,1.9658704275011016,0.7001542529748788,-0.6906126046716614,1.3574261789334507,2.0398942265315116,1.2703173204054647,1.252040546496254,Chelsea,2.345526663728515,2.0643411194358747,2.409590127809608,2.293494931687968,1.6910533274570294,0.6544733362714853,0.5197664169237548,0.7223578669017189,0.6871970030850595,59.09,81.83,0.171,0.6033,0.2257,1.07,1.89,31.4,51.2,D,2.0,2.0,1489.212769058596,1527.0962177333047,0.5203041785561936
39,40,2016,2016-09-12,Sunderland,1.0,1.4394226531511678,1.5257822829440284,1.05,-0.6544733362714853,1.6544733362714852,1.209792860290877,1.3668620537681797,1.7371970030850596,Everton,1.3331864257382107,1.6893301013662407,1.9424944909651831,1.399845747025121,0.6787130894667254,0.6544733362714853,1.1424548259144998,1.713869546055531,0.6871970030850595,55.71,68.74,0.3385,0.3838,0.2777,1.28,1.4,32.0,36.0,A,0.0,3.0,1485.4389490180415,1514.5376938889829,0.5329099068779566
40,41,2016,2016-09-16,Chelsea,2.2543772156462176,2.1423355164333353,2.5969952532596285,2.2424512407618815,1.2449558372889502,1.0094213783572674,0.733504896953674,0.7111839211680587,1.0598924472751305,Liverpool,2.2556990927116503,1.9593385807847141,1.9074713693444687,2.2392227362855253,0.5373430270984798,1.7183560656131707,0.8527118908850568,1.0983232590278194,1.8042738688938291,81.72,79.28,0.508,0.2532,0.2388,1.88,1.34,57.8,61.6,A,1.0,2.0,1527.4210845902037,1512.0915615565832,0.595699971617097
41,42,2016,2016-09-17,Leicester City,1.0090849005587936,1.8443125638406537,1.0686351018446192,1.0595391455867333,-0.7735504416271104,1.782635342185904,1.1990654329147388,1.3535000901279817,1.7425057982334915,Burnley,0.7543832241783331,0.5507622423841856,1.1017625428107913,0.7921023853872499,-0.5090788920266779,1.263462116205011,1.6932788559754854,1.9792378777864572,1.201990386348615,67.38,56.94,0.5477,0.19,0.2623,1.64,0.84,19.1,36.3,H,3.0,0.0,1487.112722951112,1489.0972041183388,0.5714849944397656
42,43,2016,2016-09-17,Hull City,1.22744697470408,1.0325762182298865,0.5619057862164274,1.1612673195938232,0.4727392897915039,0.7547076849125759,1.78244439103527,2.2192377576158147,0.7924430691582047,Arsenal,2.0003244607342423,1.409451421017845,1.8591264796010334,2.1003406837709546,0.5360211500330468,1.4643033107011956,1.1816273508381903,1.1032625127681308,1.5375184762362553,53.8,81.95,0.1705,0.5894,0.2401,0.9,1.74,27.7,65.3,A,1.0,4.0,1511.4583173624833,1511.48793154019,0.5742385254918614
43,44,2016,2016-09-17,West Bromwich Albion,0.4818241903502975,1.2985269482665385,1.5119639488073062,0.5059153998678123,-0.2725590338280358,0.7543832241783331,1.11141320675359,1.3587074445712912,0.7921023853872499,West Ham United,1.263798594003485,1.1981538184221596,1.1579288589797514,1.3269885237036594,-1.0275911794748542,2.291389773478339,1.6787061226942257,1.8930937931863245,2.273683110016223,58.86,62.06,0.4235,0.3021,0.2744,1.46,1.24,36.7,27.5,H,4.0,2.0,1491.5617748214886,1477.5728666721661,0.5938399851300984
44,45,2016,2016-09-17,Manchester City,2.744961845821066,2.3415636603977648,2.2224544853692243,2.5218119329447815,1.7449618458210656,1.0,1.2377017364657814,1.1135790422399807,1.05,AFC Bournemouth,0.7547076849125759,0.746459772877486,1.3276338400528749,0.7924430691582047,-0.4545574716096858,1.2092651565222616,2.0674242624526826,1.7277692723667604,1.269728414348375,87.58,59.4,0.8085,0.06,0.1315,2.8,0.58,77.5,19.8,H,4.0,0.0,1540.6123204716396,1488.809295345034,0.6450928938907955
45,46,2016,2016-09-17,Everton,1.772889503094394,1.9796852730877847,1.9049046445953255,1.856258006369044,1.2910653127440965,0.4818241903502975,1.165549119750045,1.5202757916241063,0.5059153998678123,Middlesbrough,0.9909150994412066,0.8240576819083097,1.0071149432193713,1.0404608544132667,-0.018506278916060815,1.0094213783572674,1.0509044042540407,1.6920970978789882,1.0598924472751305,70.76,54.92,0.5906,0.1605,0.2489,1.72,0.78,40.2,32.5,H,3.0,1.0,1529.3061264420935,1499.11371886615,0.6161260985735706
46,47,2016,2016-09-18,Watford,1.791395782010455,1.0612281439644295,1.0046975905786215,1.8809655711109776,-0.22644955837288966,2.017845340383344,1.5832432854653606,1.656031244367001,2.1187376074025113,Manchester United,1.7183560656131707,1.8896731358529113,1.8934139277774438,1.8042738688938291,0.9542270023433276,0.7641290632698432,0.9170674758156581,1.3428089887640449,0.8023355164333353,60.75,81.64,0.2007,0.5667,0.2326,1.15,1.94,20.3,58.6,H,3.0,1.0,1492.4986692875461,1522.1294550687687,0.5321474792744182
